"filename", "language", "HTML", "Markdown", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Disciplina\index.jsx", "JavaScript JSX", 0, 0, 153, 0, 0, 0, 0, 4, 17, 174
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Disciplina\style.css", "PostCSS", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\LLM\index.jsx", "JavaScript JSX", 0, 0, 240, 0, 0, 0, 0, 2, 25, 267
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\LLM\style.css", "PostCSS", 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Utilizador\create.jsx", "JavaScript JSX", 0, 0, 150, 0, 0, 0, 0, 3, 23, 176
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Utilizador\edit.jsx", "JavaScript JSX", 0, 0, 180, 0, 0, 0, 0, 1, 26, 207
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Utilizador\index.jsx", "JavaScript JSX", 0, 0, 237, 0, 0, 0, 0, 5, 25, 267
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Utilizador\style.css", "PostCSS", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Video\create.jsx", "JavaScript JSX", 0, 0, 150, 0, 0, 0, 0, 3, 23, 176
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Video\edit.jsx", "JavaScript JSX", 0, 0, 215, 0, 0, 0, 0, 1, 39, 255
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Video\estatisticas.jsx", "JavaScript JSX", 0, 0, 98, 0, 0, 0, 0, 0, 16, 114
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Video\index.jsx", "JavaScript JSX", 0, 0, 250, 0, 0, 0, 0, 5, 26, 281
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Video\style.css", "PostCSS", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Anotacoes\index.jsx", "JavaScript JSX", 0, 0, 104, 0, 0, 0, 0, 0, 11, 115
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Anotacoes\style.css", "PostCSS", 0, 0, 0, 0, 38, 0, 0, 0, 7, 45
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Auth\Login\index.jsx", "JavaScript JSX", 0, 0, 67, 0, 0, 0, 0, 0, 8, 75
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Auth\Login\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Auth\Register\index.jsx", "JavaScript JSX", 0, 0, 73, 0, 0, 0, 0, 0, 12, 85
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Auth\Register\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Disciplina\index.jsx", "JavaScript JSX", 0, 0, 206, 0, 0, 0, 0, 2, 28, 236
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Disciplina\style.css", "PostCSS", 0, 0, 0, 0, 141, 0, 0, 0, 31, 172
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Home\SearchForm.jsx", "JavaScript JSX", 0, 0, 41, 0, 0, 0, 0, 3, 9, 53
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Home\SearchResults.jsx", "JavaScript JSX", 0, 0, 217, 0, 0, 0, 0, 11, 39, 267
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Home\index.jsx", "JavaScript JSX", 0, 0, 49, 0, 0, 0, 0, 0, 8, 57
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Home\style.css", "PostCSS", 0, 0, 0, 0, 89, 0, 0, 1, 24, 114
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Home\videoSection.jsx", "JavaScript JSX", 0, 0, 59, 0, 0, 0, 0, 4, 12, 75
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Home\videoSection.module.css", "PostCSS", 0, 0, 0, 0, 72, 0, 0, 0, 12, 84
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Perfil\EditPerfil\index.jsx", "JavaScript JSX", 0, 0, 144, 0, 0, 0, 0, 2, 22, 168
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Perfil\EditPerfil\style.css", "PostCSS", 0, 0, 0, 0, 36, 0, 0, 0, 11, 47
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Perfil\index.jsx", "JavaScript JSX", 0, 0, 197, 0, 0, 0, 0, 0, 26, 223
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Perfil\style.css", "PostCSS", 0, 0, 0, 0, 141, 0, 0, 0, 25, 166
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\Estatistica\index.jsx", "JavaScript JSX", 0, 0, 156, 0, 0, 0, 0, 6, 14, 176
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\Estatistica\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\EditarVideo\index.jsx", "JavaScript JSX", 0, 0, 215, 0, 0, 0, 0, 1, 40, 256
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\EditarVideo\style.css", "PostCSS", 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\EstatisticaVideo\index.jsx", "JavaScript JSX", 0, 0, 98, 0, 0, 0, 0, 0, 11, 109
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\EstatisticaVideo\style.css", "PostCSS", 0, 0, 0, 0, 40, 0, 0, 0, 6, 46
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\ListarVideo\index.jsx", "JavaScript JSX", 0, 0, 153, 0, 0, 0, 0, 0, 12, 165
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\ListarVideo\style.css", "PostCSS", 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\PublicarVideo\index.jsx", "JavaScript JSX", 0, 0, 168, 0, 0, 0, 0, 0, 23, 191
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\PublicarVideo\style.css", "PostCSS", 0, 0, 0, 0, 74, 0, 0, 0, 13, 87
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\SearchDisciplina\SearchDisciplina.jsx", "JavaScript JSX", 0, 0, 127, 0, 0, 0, 0, 6, 30, 163
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\SearchDisciplina\style.css", "PostCSS", 0, 0, 0, 0, 92, 0, 0, 1, 23, 116
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\anotacao.css", "PostCSS", 0, 0, 0, 0, 43, 0, 0, 0, 6, 49
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\anotacao.jsx", "JavaScript JSX", 0, 0, 70, 0, 0, 0, 0, 0, 10, 80
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\chatbot.css", "PostCSS", 0, 0, 0, 0, 136, 0, 0, 1, 27, 164
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\chatbot.jsx", "JavaScript JSX", 0, 0, 121, 0, 0, 0, 0, 8, 14, 143
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\comentario.css", "PostCSS", 0, 0, 0, 0, 207, 0, 0, 0, 43, 250
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\comentario.jsx", "JavaScript JSX", 0, 0, 228, 0, 0, 0, 0, 6, 32, 266
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\index.jsx", "JavaScript JSX", 0, 0, 71, 0, 0, 0, 0, 0, 15, 86
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\infobox.css", "PostCSS", 0, 0, 0, 0, 199, 0, 0, 4, 52, 255
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\infobox.jsx", "JavaScript JSX", 0, 0, 141, 0, 0, 0, 0, 0, 18, 159
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\style.css", "PostCSS", 0, 0, 0, 0, 384, 0, 0, 9, 79, 472
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\videoplayer.jsx", "JavaScript JSX", 0, 0, 186, 0, 0, 0, 0, 0, 31, 217
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\Logo.svg", "XML", 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\Stats.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\Videos.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\admin.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\criar.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\home.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\search.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\styles\BackOffice.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\styles\FrontOffice.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\styles\Global.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\user.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\About\index.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 2, 32
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\About\style.css", "PostCSS", 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Contact\index.jsx", "JavaScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Contact\style.css", "PostCSS", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Footer\index.jsx", "JavaScript JSX", 0, 0, 40, 0, 0, 0, 0, 1, 5, 46
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Footer\style.css", "PostCSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Header\index.jsx", "JavaScript JSX", 0, 0, 153, 0, 0, 0, 0, 0, 21, 174
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Header\style.css", "PostCSS", 0, 0, 0, 0, 107, 0, 0, 52, 34, 193
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\NotFound\index.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
