Date : 2025-07-13 00:25:32
Directory : c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src
Total : 111 files,  9020 codes, 270 comments, 1477 blanks, all 10767 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Estatisticas\style.css                          | PostCSS        |          0 |          0 |          1 |          1 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Estatisticas\utilizadores.jsx                   | JavaScript JSX |        184 |          3 |         23 |        210 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Main\index.jsx                                  | JavaScript JSX |         16 |          0 |          2 |         18 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Main\style.css                                  | PostCSS        |          3 |          0 |          0 |          3 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\NotFound\index.jsx                              | JavaScript JSX |         14 |          0 |          2 |         16 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\NotFound\style.css                              | PostCSS        |          0 |          0 |          1 |          1 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Cargo\create.jsx                        | JavaScript JSX |         51 |          0 |          5 |         56 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Cargo\edit.jsx                          | JavaScript JSX |         68 |          1 |          6 |         75 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Cargo\index.jsx                         | JavaScript JSX |        126 |          0 |         13 |        139 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Cargo\style.css                         | PostCSS        |          6 |          0 |          2 |          8 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Comentario\edit.jsx                     | JavaScript JSX |         70 |          1 |         10 |         81 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Comentario\index.jsx                    | JavaScript JSX |        231 |          5 |         22 |        258 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Comentario\style.css                    | PostCSS        |          6 |          0 |          2 |          8 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Disciplina\create.jsx                   | JavaScript JSX |         82 |          0 |         10 |         92 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Disciplina\edit.jsx                     | JavaScript JSX |        103 |          1 |         13 |        117 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Disciplina\index.jsx                    | JavaScript JSX |        153 |          4 |         17 |        174 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Disciplina\style.css                    | PostCSS        |          6 |          0 |          2 |          8 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\LLM\index.jsx                           | JavaScript JSX |        240 |          2 |         25 |        267 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\LLM\style.css                           | PostCSS        |          3 |          0 |          2 |          5 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Utilizador\create.jsx                   | JavaScript JSX |        150 |          3 |         23 |        176 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Utilizador\edit.jsx                     | JavaScript JSX |        180 |          1 |         26 |        207 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Utilizador\index.jsx                    | JavaScript JSX |        237 |          5 |         25 |        267 |
